id,kind,title,source,family,status
egres-0034,catalog,List colouring of two matroids,egres-open,,listed-open
egres-0035,catalog,Well-balanced orientations of hypergraphs,egres-open,,conflicting-status-categories
egres-0039,catalog,Highly element-connected orientation,egres-open,,listed-open
egres-0043,catalog,Berge's conjecture on path partitions,egres-open,,listed-open
egres-0048,catalog,Parity constrained strongly connected orientations,egres-open,,listed-open
egres-0049,catalog,Making the union of two directed spanning trees strongly connected,egres-open,,listed-open
egres-0053,catalog,Caccetta-Häggkvist conjecture,egres-open,,listed-open
egres-0054,catalog,Woodall's conjecture,egres-open,,listed-open
egres-0058,catalog,Disjoint spanning in- and out-arborescences,egres-open,,listed-open
egres-0062,catalog,Capacitated packing of k-arborescences,egres-open,,listed-open
egres-0067,catalog,Decomposition of oriented k-partition-connected digraphs,egres-open,,listed-open
egres-0068,catalog,Upper bound on common independent set cover,egres-open,,listed-open
egres-0076,catalog,Polyhedral description of kernels,egres-open,,listed-open
egres-0079,catalog,Small quasi-kernels in directed graphs,egres-open,,listed-open
egres-0090,catalog,Finding kernels in special digraphs,egres-open,,listed-open
egres-0093,catalog,Maximum weakly stable matchings in graphs without odd preference cycles,egres-open,,listed-open
egres-0094,catalog,Exact matching in red-blue bipartite graphs,egres-open,,listed-open
egres-0097,catalog,Deciding the validity of the score sequence of a soccer tournament,egres-open,,listed-open
egres-0098,catalog,Maximum weight k-element subsets of perfect matchings,egres-open,,listed-open
egres-0102,catalog,Maximum square-free 2-matching,egres-open,,listed-open
egres-0105,catalog,Maximum weight bounded fractional matching,egres-open,,listed-open
egres-0107,catalog,Generic rigidity in three dimensions,egres-open,,listed-open
egres-0110,catalog,Cyclic orderings of matroids,egres-open,,listed-open
egres-0111,catalog,Disjoint strongly connected spanning subgraphs,egres-open,,listed-open
egres-0118,catalog,Red-blue cut problem,egres-open,,listed-open
egres-0120,catalog,"Decomposing rooted (k,l)-connected graphs into rooted k-connected parts",egres-open,,listed-open
egres-0121,catalog,Kriesell's conjecture,egres-open,,listed-open
egres-0123,catalog,Independent arborescences in acyclic digraphs,egres-open,,listed-open
