id,kind,title,source,family,status
erdos-0001,catalog,Erdős problem #1,erdos-problems,,open
erdos-0003,catalog,Erdős problem #3,erdos-problems,,open
erdos-0005,catalog,Erdős problem #5,erdos-problems,,open
erdos-0007,catalog,Erdős problem #7,erdos-problems,,open
erdos-0009,catalog,Erdős problem #9,erdos-problems,,open
erdos-0010,catalog,Erdős problem #10,erdos-problems,,open
erdos-0011,catalog,Erdős problem #11,erdos-problems,,open
erdos-0012,catalog,Erdős problem #12,erdos-problems,,open
erdos-0014,catalog,Erdős problem #14,erdos-problems,,open
erdos-0015,catalog,Erdős problem #15,erdos-problems,,open
erdos-0017,catalog,Erdős problem #17,erdos-problems,,open
erdos-0018,catalog,Erdős problem #18,erdos-problems,,open
erdos-0019,catalog,Erdős problem #19,erdos-problems,,open
erdos-0020,catalog,Erdős problem #20,erdos-problems,,open
erdos-0023,catalog,Erdős problem #23,erdos-problems,,open
erdos-0025,catalog,Erdős problem #25,erdos-problems,,open
erdos-0028,catalog,Erdős problem #28,erdos-problems,,open
erdos-0030,catalog,Erdős problem #30,erdos-problems,,open
erdos-0032,catalog,Erdős problem #32,erdos-problems,,open
erdos-0033,catalog,Erdős problem #33,erdos-problems,,open
erdos-0036,catalog,Erdős problem #36,erdos-problems,,open
erdos-0039,catalog,Erdős problem #39,erdos-problems,,open
erdos-0040,catalog,Erdős problem #40,erdos-problems,,open
erdos-0041,catalog,Erdős problem #41,erdos-problems,,open
erdos-0044,catalog,Erdős problem #44,erdos-problems,,open
erdos-0050,catalog,Erdős problem #50,erdos-problems,,open
erdos-0051,catalog,Erdős problem #51,erdos-problems,,open
erdos-0052,catalog,Erdős problem #52,erdos-problems,,open
erdos-0060,catalog,Erdős problem #60,erdos-problems,,open
erdos-0061,catalog,Erdős problem #61,erdos-problems,,open
erdos-0062,catalog,Erdős problem #62,erdos-problems,,open
erdos-0064,catalog,Erdős problem #64,erdos-problems,,open
erdos-0065,catalog,Erdős problem #65,erdos-problems,,open
erdos-0066,catalog,Erdős problem #66,erdos-problems,,open
erdos-0068,catalog,Erdős problem #68,erdos-problems,,open
erdos-0070,catalog,Erdős problem #70,erdos-problems,,open
erdos-0074,catalog,Erdős problem #74,erdos-problems,,open
erdos-0075,catalog,Erdős problem #75,erdos-problems,,open
erdos-0077,catalog,Erdős problem #77,erdos-problems,,open
erdos-0078,catalog,Erdős problem #78,erdos-problems,,open
erdos-0080,catalog,Erdős problem #80,erdos-problems,,open
erdos-0081,catalog,Erdős problem #81,erdos-problems,,open
erdos-0082,catalog,Erdős problem #82,erdos-problems,,open
erdos-0084,catalog,Erdős problem #84,erdos-problems,,open
erdos-0085,catalog,Erdős problem #85,erdos-problems,,open
erdos-0086,catalog,Erdős problem #86,erdos-problems,,open
