id,kind,title,source,family,status
fc-bench-v1-0001,catalog,curling_number_conjecture,formal-conjectures-bench-v1,,research open
fc-bench-v1-0002,catalog,crystals_components_unique,formal-conjectures-bench-v1,,research open
fc-bench-v1-0003,catalog,maximalLength_le_strong,formal-conjectures-bench-v1,,research open
fc-bench-v1-0004,catalog,independentDominationEven,formal-conjectures-bench-v1,,research open
fc-bench-v1-0005,catalog,independentDominationOdd,formal-conjectures-bench-v1,,research open
fc-bench-v1-0006,catalog,CollatzLike,formal-conjectures-bench-v1,,research open
fc-bench-v1-0007,catalog,zariski_cancellation_problem,formal-conjectures-bench-v1,,research open
fc-bench-v1-0008,catalog,conjecture_1_1,formal-conjectures-bench-v1,,research open
fc-bench-v1-0009,catalog,conjecture_4_1,formal-conjectures-bench-v1,,research open
fc-bench-v1-0010,catalog,conjecture_4_2,formal-conjectures-bench-v1,,research open
fc-bench-v1-0011,catalog,conjecture_4_3,formal-conjectures-bench-v1,,research open
fc-bench-v1-0012,catalog,conjecture_4_4,formal-conjectures-bench-v1,,research open
fc-bench-v1-0013,catalog,conjecture_1_1,formal-conjectures-bench-v1,,research open
fc-bench-v1-0014,catalog,isEquidistributedModuloOne_three_halves_pow,formal-conjectures-bench-v1,,research open
fc-bench-v1-0015,catalog,isEquidistributedModuloOne_transcendental_three_halves_pow,formal-conjectures-bench-v1,,research open
fc-bench-v1-0016,catalog,isAccumulationPoint_three_halves_pow,formal-conjectures-bench-v1,,research open
fc-bench-v1-0017,catalog,erdos_1,formal-conjectures-bench-v1,,research open
fc-bench-v1-0018,catalog,erdos_1.variants.real,formal-conjectures-bench-v1,,research open
fc-bench-v1-0019,catalog,erdos_10,formal-conjectures-bench-v1,,research open
fc-bench-v1-0020,catalog,erdos_10.variants.granville_soundararajan_odd,formal-conjectures-bench-v1,,research open
fc-bench-v1-0021,catalog,erdos_10.variants.grechuk,formal-conjectures-bench-v1,,research open
fc-bench-v1-0022,catalog,erdos_100,formal-conjectures-bench-v1,,research open
fc-bench-v1-0023,catalog,erdos_100.variants.strong,formal-conjectures-bench-v1,,research open
fc-bench-v1-0024,catalog,erdos_1002,formal-conjectures-bench-v1,,research open
fc-bench-v1-0025,catalog,erdos_1003,formal-conjectures-bench-v1,,research open
fc-bench-v1-0026,catalog,erdos_1003.variants.Icc,formal-conjectures-bench-v1,,research open
fc-bench-v1-0027,catalog,erdos_1004,formal-conjectures-bench-v1,,research open
fc-bench-v1-0028,catalog,erdos_101,formal-conjectures-bench-v1,,research open
fc-bench-v1-0029,catalog,erdos_1038.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0030,catalog,erdos_1041,formal-conjectures-bench-v1,,research open
fc-bench-v1-0031,catalog,erdos_1049,formal-conjectures-bench-v1,,research open
fc-bench-v1-0032,catalog,erdos_1052,formal-conjectures-bench-v1,,research open
fc-bench-v1-0033,catalog,erdos_1054.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0034,catalog,erdos_1054.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0035,catalog,erdos_1054.parts.iii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0036,catalog,erdos_1055,formal-conjectures-bench-v1,,research open
fc-bench-v1-0037,catalog,erdos_1055.variants.erdos_limit,formal-conjectures-bench-v1,,research open
fc-bench-v1-0038,catalog,erdos_1055.variants.selfridge_limit,formal-conjectures-bench-v1,,research open
fc-bench-v1-0039,catalog,erdos_1056,formal-conjectures-bench-v1,,research open
fc-bench-v1-0040,catalog,erdos_1056.variants.noll_simmons,formal-conjectures-bench-v1,,research open
fc-bench-v1-0041,catalog,erdos_1059,formal-conjectures-bench-v1,,research open
fc-bench-v1-0042,catalog,erdos_1060.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0043,catalog,erdos_1060.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0044,catalog,erdos_1061,formal-conjectures-bench-v1,,research open
fc-bench-v1-0045,catalog,erdos_1062.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0046,catalog,erdos_1063.better_upper,formal-conjectures-bench-v1,,research open
fc-bench-v1-0047,catalog,erdos_1065.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0048,catalog,erdos_1065.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0049,catalog,erdos_1068,formal-conjectures-bench-v1,,research open
fc-bench-v1-0050,catalog,erdos_107,formal-conjectures-bench-v1,,research open
fc-bench-v1-0051,catalog,erdos_1072.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0052,catalog,erdos_1072.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0053,catalog,erdos_1072.variants.littleo,formal-conjectures-bench-v1,,research open
fc-bench-v1-0054,catalog,erdos_1073,formal-conjectures-bench-v1,,research open
fc-bench-v1-0055,catalog,erdos_1074.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0056,catalog,erdos_1074.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0057,catalog,erdos_1074.parts.iii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0058,catalog,erdos_1074.parts.iv,formal-conjectures-bench-v1,,research open
fc-bench-v1-0059,catalog,erdos_1074.variants.EHSNumbers_one_half,formal-conjectures-bench-v1,,research open
fc-bench-v1-0060,catalog,erdos_108,formal-conjectures-bench-v1,,research open
fc-bench-v1-0061,catalog,erdos_1082.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0062,catalog,erdos_1084.variants.triangular_optimal_d2,formal-conjectures-bench-v1,,research open
fc-bench-v1-0063,catalog,erdos_1085.variants.upper_d3,formal-conjectures-bench-v1,,research open
fc-bench-v1-0064,catalog,f_asymptotic_2,formal-conjectures-bench-v1,,research open
fc-bench-v1-0065,catalog,f_asymptotic_general,formal-conjectures-bench-v1,,research open
fc-bench-v1-0066,catalog,erdos_1093.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0067,catalog,erdos_1093.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0068,catalog,erdos_1094,formal-conjectures-bench-v1,,research open
fc-bench-v1-0069,catalog,erdos_1095.variants.upper_conjecture,formal-conjectures-bench-v1,,research open
fc-bench-v1-0070,catalog,erdos_1095.variants.lower_conjecture,formal-conjectures-bench-v1,,research open
fc-bench-v1-0071,catalog,erdos_1095.variants.log_equivalent,formal-conjectures-bench-v1,,research open
fc-bench-v1-0072,catalog,erdos_1097,formal-conjectures-bench-v1,,research open
fc-bench-v1-0073,catalog,erdos_11,formal-conjectures-bench-v1,,research open
fc-bench-v1-0074,catalog,erdos_11.variants.not_four_dvd,formal-conjectures-bench-v1,,research open
fc-bench-v1-0075,catalog,erdos_11.variants.two_pow_two,formal-conjectures-bench-v1,,research open
fc-bench-v1-0076,catalog,erdos_1101.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0077,catalog,erdos_1101.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0078,catalog,erdos_1106.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0079,catalog,erdos_1106.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0080,catalog,erdos_1107,formal-conjectures-bench-v1,,research open
fc-bench-v1-0081,catalog,erdos_1108.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0082,catalog,erdos_1108.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0083,catalog,erdos_1113,formal-conjectures-bench-v1,,research open
fc-bench-v1-0084,catalog,erdos_1113.variants.filaseta_finch_kozek,formal-conjectures-bench-v1,,research open
fc-bench-v1-0085,catalog,erdos_1135,formal-conjectures-bench-v1,,research open
fc-bench-v1-0086,catalog,erdos_1137,formal-conjectures-bench-v1,,research open
fc-bench-v1-0087,catalog,erdos_1139,formal-conjectures-bench-v1,,research open
fc-bench-v1-0088,catalog,erdos_1142,formal-conjectures-bench-v1,,research open
fc-bench-v1-0089,catalog,erdos_1145,formal-conjectures-bench-v1,,research open
fc-bench-v1-0090,catalog,erdos_1150,formal-conjectures-bench-v1,,research open
fc-bench-v1-0091,catalog,erdos_1176,formal-conjectures-bench-v1,,research open
fc-bench-v1-0092,catalog,erdos_119.parts.iii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0093,catalog,erdos_1199,formal-conjectures-bench-v1,,research open
fc-bench-v1-0094,catalog,erdos_12.parts.iii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0095,catalog,erdos_120,formal-conjectures-bench-v1,,research open
fc-bench-v1-0096,catalog,erdos_1210,formal-conjectures-bench-v1,,research open
fc-bench-v1-0097,catalog,erdos_1210.variants.er80_correction,formal-conjectures-bench-v1,,research open
fc-bench-v1-0098,catalog,erdos_123,formal-conjectures-bench-v1,,research open
fc-bench-v1-0099,catalog,erdos_123.variants.powers_2_3_5_snug,formal-conjectures-bench-v1,,research open
fc-bench-v1-0100,catalog,erdos124.ne_zero,formal-conjectures-bench-v1,,research open
fc-bench-v1-0101,catalog,erdos_125.variants.positive_upper_density,formal-conjectures-bench-v1,,research open
fc-bench-v1-0102,catalog,erdos_125.variants.zero_density,formal-conjectures-bench-v1,,research open
fc-bench-v1-0103,catalog,erdos_125.variants.zero_lower_positive_upper_density,formal-conjectures-bench-v1,,research open
fc-bench-v1-0104,catalog,erdos_125.variants.positive_unequal_density,formal-conjectures-bench-v1,,research open
fc-bench-v1-0105,catalog,erdos_126,formal-conjectures-bench-v1,,research open
fc-bench-v1-0106,catalog,erdos_126.variants.isLittleO,formal-conjectures-bench-v1,,research open
fc-bench-v1-0107,catalog,erdos_128,formal-conjectures-bench-v1,,research open
fc-bench-v1-0108,catalog,erdos_13.variants.general,formal-conjectures-bench-v1,,research open
fc-bench-v1-0109,catalog,erdos_137,formal-conjectures-bench-v1,,research open
fc-bench-v1-0110,catalog,erdos_137.variants.multiple_powerful_factors,formal-conjectures-bench-v1,,research open
fc-bench-v1-0111,catalog,erdos_138,formal-conjectures-bench-v1,,research open
fc-bench-v1-0112,catalog,erdos_138.variants.quotient,formal-conjectures-bench-v1,,research open
fc-bench-v1-0113,catalog,erdos_138.variants.dvd_two_pow,formal-conjectures-bench-v1,,research open
fc-bench-v1-0114,catalog,erdos_14.parts.i,formal-conjectures-bench-v1,,research open
fc-bench-v1-0115,catalog,erdos_14.parts.ii,formal-conjectures-bench-v1,,research open
fc-bench-v1-0116,catalog,erdos_141,formal-conjectures-bench-v1,,research open
fc-bench-v1-0117,catalog,erdos_141.variants.eleven,formal-conjectures-bench-v1,,research open
fc-bench-v1-0118,catalog,erdos_141.variants.infinite_three,formal-conjectures-bench-v1,,research open
