id,kind,title,source,family,status
kourovka-main-01-003,catalog,Kourovka problem 1.3 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-005,catalog,Kourovka problem 1.5 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-006,catalog,Kourovka problem 1.6 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-012,catalog,Kourovka problem 1.12 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-020,catalog,Kourovka problem 1.20 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-027,catalog,Kourovka problem 1.27 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-028,catalog,Kourovka problem 1.28 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-031,catalog,Kourovka problem 1.31 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-033,catalog,Kourovka problem 1.33 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-035,catalog,Kourovka problem 1.35 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-040,catalog,Kourovka problem 1.40 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-046,catalog,Kourovka problem 1.46 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-051,catalog,Kourovka problem 1.51 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-054,catalog,Kourovka problem 1.54 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-055,catalog,Kourovka problem 1.55 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-065,catalog,Kourovka problem 1.65 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-067,catalog,Kourovka problem 1.67 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-074,catalog,Kourovka problem 1.74 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-086,catalog,Kourovka problem 1.86 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-01-087,catalog,Kourovka problem 1.87 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-005,catalog,Kourovka problem 2.5 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-006,catalog,Kourovka problem 2.6 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-009,catalog,Kourovka problem 2.9 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-022,catalog,Kourovka problem 2.22 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-024,catalog,Kourovka problem 2.24 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-025,catalog,Kourovka problem 2.25 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-026,catalog,Kourovka problem 2.26 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-028,catalog,Kourovka problem 2.28 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-040,catalog,Kourovka problem 2.40 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-042,catalog,Kourovka problem 2.42 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-045,catalog,Kourovka problem 2.45 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-048,catalog,Kourovka problem 2.48 (main),kourovka-notebook-21,,reported-answered-by-source
kourovka-main-02-056,catalog,Kourovka problem 2.56 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-067,catalog,Kourovka problem 2.67 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-068,catalog,Kourovka problem 2.68 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-074,catalog,Kourovka problem 2.74 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-078,catalog,Kourovka problem 2.78 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-080,catalog,Kourovka problem 2.80 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-081,catalog,Kourovka problem 2.81 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-082,catalog,Kourovka problem 2.82 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-02-084,catalog,Kourovka problem 2.84 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-003,catalog,Kourovka problem 3.3 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-005,catalog,Kourovka problem 3.5 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-012,catalog,Kourovka problem 3.12 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-016,catalog,Kourovka problem 3.16 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-020,catalog,Kourovka problem 3.20 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-034,catalog,Kourovka problem 3.34 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-038,catalog,Kourovka problem 3.38 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-043,catalog,Kourovka problem 3.43 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-044,catalog,Kourovka problem 3.44 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-045,catalog,Kourovka problem 3.45 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-046,catalog,Kourovka problem 3.46 (main),kourovka-notebook-21,,reported-answered-by-source
kourovka-main-03-047,catalog,Kourovka problem 3.47 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-048,catalog,Kourovka problem 3.48 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-049,catalog,Kourovka problem 3.49 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-055,catalog,Kourovka problem 3.55 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-057,catalog,Kourovka problem 3.57 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-03-060,catalog,Kourovka problem 3.60 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-002,catalog,Kourovka problem 4.2 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-005,catalog,Kourovka problem 4.5 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-006,catalog,Kourovka problem 4.6 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-007,catalog,Kourovka problem 4.7 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-009,catalog,Kourovka problem 4.9 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-011,catalog,Kourovka problem 4.11 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-013,catalog,Kourovka problem 4.13 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-017,catalog,Kourovka problem 4.17 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-018,catalog,Kourovka problem 4.18 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-019,catalog,Kourovka problem 4.19 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-024,catalog,Kourovka problem 4.24 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-030,catalog,Kourovka problem 4.30 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-031,catalog,Kourovka problem 4.31 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-033,catalog,Kourovka problem 4.33 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-034,catalog,Kourovka problem 4.34 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-040,catalog,Kourovka problem 4.40 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-042,catalog,Kourovka problem 4.42 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-044,catalog,Kourovka problem 4.44 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-046,catalog,Kourovka problem 4.46 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-048,catalog,Kourovka problem 4.48 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-050,catalog,Kourovka problem 4.50 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-055,catalog,Kourovka problem 4.55 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-056,catalog,Kourovka problem 4.56 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-065,catalog,Kourovka problem 4.65 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-066,catalog,Kourovka problem 4.66 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-072,catalog,Kourovka problem 4.72 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-074,catalog,Kourovka problem 4.74 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-04-075,catalog,Kourovka problem 4.75 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-001,catalog,Kourovka problem 5.1 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-005,catalog,Kourovka problem 5.5 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-014,catalog,Kourovka problem 5.14 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-015,catalog,Kourovka problem 5.15 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-016,catalog,Kourovka problem 5.16 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-025,catalog,Kourovka problem 5.25 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-026,catalog,Kourovka problem 5.26 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-027,catalog,Kourovka problem 5.27 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-030,catalog,Kourovka problem 5.30 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-033,catalog,Kourovka problem 5.33 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-035,catalog,Kourovka problem 5.35 (main),kourovka-notebook-21,,listed-unsolved
kourovka-main-05-036,catalog,Kourovka problem 5.36 (main),kourovka-notebook-21,,listed-unsolved
