id,kind,title,source,family,status
unsolvedmath-0001,catalog,P versus NP Problem,unsolvedmath-1.1.0,,open
unsolvedmath-0002,catalog,The Riemann Hypothesis,unsolvedmath-1.1.0,,open
unsolvedmath-0003,catalog,Yang–Mills Existence and Mass Gap,unsolvedmath-1.1.0,,open
unsolvedmath-0004,catalog,Navier–Stokes Existence and Smoothness,unsolvedmath-1.1.0,,open
unsolvedmath-0005,catalog,Birch and Swinnerton-Dyer Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0006,catalog,Hodge Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0008,catalog,Odd Perfect Numbers,unsolvedmath-1.1.0,,open
unsolvedmath-0009,catalog,Collatz Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0010,catalog,The Hadwiger-Nelson Problem,unsolvedmath-1.1.0,,open
unsolvedmath-0011,catalog,Twin Prime Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0012,catalog,Goldbach's Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0013,catalog,ABC Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0014,catalog,Hadwiger Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0015,catalog,Reconstruction Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0018,catalog,Smooth 4-Dimensional Poincaré Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0019,catalog,Sphere Packing in Higher Dimensions,unsolvedmath-1.1.0,,open
unsolvedmath-0020,catalog,Inverse Galois Problem,unsolvedmath-1.1.0,,open
unsolvedmath-0021,catalog,Kaplansky's Conjectures,unsolvedmath-1.1.0,,open
unsolvedmath-0022,catalog,Continuum Hypothesis,unsolvedmath-1.1.0,,open
unsolvedmath-0025,catalog,Legendre's Conjecture,unsolvedmath-1.1.0,,open
unsolvedmath-0026,catalog,Are there infinitely many Mersenne primes?,unsolvedmath-1.1.0,,open
