id,source,best_known,gap_codewords
aebcw-a-27-14-12,brouwer-constant-weight-codes,19,1
aebcw-a-27-8-5,brouwer-constant-weight-codes,31,1
aebcw-a-29-14-11,brouwer-constant-weight-codes,28,1
aebcw-a-32-16-13,brouwer-constant-weight-codes,25,2
aebcw-a-18-6-5,brouwer-constant-weight-codes,69,3
aebcw-a-18-8-8,brouwer-constant-weight-codes,46,3
aebcw-a-23-8-6,brouwer-constant-weight-codes,77,3
aebcw-a-21-10-10,brouwer-constant-weight-codes,38,4
aebcw-a-22-6-5,brouwer-constant-weight-codes,132,4
aebcw-a-25-10-7,brouwer-constant-weight-codes,28,4
aebcw-a-26-12-10,brouwer-constant-weight-codes,33,4
aebcw-a-29-12-8,brouwer-constant-weight-codes,22,4
aebcw-a-27-8-6,brouwer-constant-weight-codes,130,5
aebcw-a-25-12-11,brouwer-constant-weight-codes,36,6
aebcw-a-26-10-7,brouwer-constant-weight-codes,30,6
aebcw-a-28-12-9,brouwer-constant-weight-codes,39,6
aebcw-a-35-18-16,brouwer-constant-weight-codes,22,6
aebcw-a-19-6-5,brouwer-constant-weight-codes,76,7
aebcw-a-21-10-9,brouwer-constant-weight-codes,27,8
aebcw-a-22-10-8,brouwer-constant-weight-codes,25,8
aebcw-a-25-12-10,brouwer-constant-weight-codes,28,8
aebcw-a-18-8-9,brouwer-constant-weight-codes,48,10
aebcw-a-20-6-5,brouwer-constant-weight-codes,90,10
aebcw-a-17-6-6,brouwer-constant-weight-codes,113,11
aebcw-a-31-14-11,brouwer-constant-weight-codes,35,11
aebcw-a-27-10-7,brouwer-constant-weight-codes,36,12
aebcw-a-16-6-7,brouwer-constant-weight-codes,109,13
aebcw-a-20-8-9,brouwer-constant-weight-codes,160,13
aebcw-a-23-10-8,brouwer-constant-weight-codes,33,13
aebcw-a-21-8-9,brouwer-constant-weight-codes,280,14
aebcw-a-24-8-6,brouwer-constant-weight-codes,78,14
aebcw-a-19-8-9,brouwer-constant-weight-codes,88,15
aebcw-a-29-14-13,brouwer-constant-weight-codes,35,15
aebcw-a-22-10-9,brouwer-constant-weight-codes,35,16
aebcw-a-29-12-9,brouwer-constant-weight-codes,42,17
aebcw-a-16-6-8,brouwer-constant-weight-codes,120,18
aebcw-a-21-6-5,brouwer-constant-weight-codes,108,18
aebcw-a-28-10-7,brouwer-constant-weight-codes,38,18
aebcw-a-28-8-6,brouwer-constant-weight-codes,131,18
aebcw-a-29-14-12,brouwer-constant-weight-codes,29,18
aebcw-a-27-12-10,brouwer-constant-weight-codes,39,19
aebcw-a-27-6-5,brouwer-constant-weight-codes,260,20
aebcw-a-24-8-7,brouwer-constant-weight-codes,253,21
aebcw-a-24-10-8,brouwer-constant-weight-codes,38,22
aebcw-a-28-6-5,brouwer-constant-weight-codes,280,22
aebcw-a-23-6-5,brouwer-constant-weight-codes,147,23
aebcw-a-24-6-5,brouwer-constant-weight-codes,168,24
aebcw-a-25-10-8,brouwer-constant-weight-codes,51,24
aebcw-a-29-10-7,brouwer-constant-weight-codes,42,24
aebcw-a-22-10-10,brouwer-constant-weight-codes,46,25
aebcw-a-26-12-11,brouwer-constant-weight-codes,41,25
aebcw-a-30-14-12,brouwer-constant-weight-codes,36,26
aebcw-a-21-8-10,brouwer-constant-weight-codes,336,27
aebcw-a-32-14-11,brouwer-constant-weight-codes,40,28
aebcw-a-26-12-12,brouwer-constant-weight-codes,54,29
aebcw-a-20-8-10,brouwer-constant-weight-codes,176,30
aebcw-a-30-12-9,brouwer-constant-weight-codes,44,30
aebcw-a-28-12-10,brouwer-constant-weight-codes,56,31
aebcw-a-31-14-12,brouwer-constant-weight-codes,45,32
aebcw-a-22-10-11,brouwer-constant-weight-codes,46,33
aebcw-a-23-10-9,brouwer-constant-weight-codes,45,33
aebcw-a-26-12-13,brouwer-constant-weight-codes,58,33
aebcw-a-30-14-13,brouwer-constant-weight-codes,45,33
aebcw-a-27-12-11,brouwer-constant-weight-codes,54,36
aebcw-a-30-10-7,brouwer-constant-weight-codes,48,37
aebcw-a-30-14-14,brouwer-constant-weight-codes,58,37
aebcw-a-17-6-7,brouwer-constant-weight-codes,166,40
aebcw-a-30-14-15,brouwer-constant-weight-codes,62,42
aebcw-a-20-6-6,brouwer-constant-weight-codes,232,44
aebcw-a-31-12-9,brouwer-constant-weight-codes,50,44
aebcw-a-31-10-7,brouwer-constant-weight-codes,62,47
aebcw-a-26-10-8,brouwer-constant-weight-codes,55,49
aebcw-a-29-6-5,brouwer-constant-weight-codes,315,49
aebcw-a-32-12-9,brouwer-constant-weight-codes,60,50
aebcw-a-18-6-6,brouwer-constant-weight-codes,133,53
aebcw-a-27-10-8,brouwer-constant-weight-codes,66,55
aebcw-a-19-6-6,brouwer-constant-weight-codes,172,56
aebcw-a-27-12-12,brouwer-constant-weight-codes,82,57
aebcw-a-24-10-9,brouwer-constant-weight-codes,56,60
aebcw-a-29-12-10,brouwer-constant-weight-codes,66,60
aebcw-a-30-12-10,brouwer-constant-weight-codes,98,61
aebcw-a-23-10-10,brouwer-constant-weight-codes,54,62
aebcw-a-32-14-12,brouwer-constant-weight-codes,55,63
aebcw-a-18-6-7,brouwer-constant-weight-codes,243,69
aebcw-a-27-12-13,brouwer-constant-weight-codes,86,69
aebcw-a-31-14-13,brouwer-constant-weight-codes,60,69
aebcw-a-23-10-11,brouwer-constant-weight-codes,65,70
aebcw-a-25-8-7,brouwer-constant-weight-codes,255,73
aebcw-a-17-6-8,brouwer-constant-weight-codes,184,75
aebcw-a-32-10-7,brouwer-constant-weight-codes,64,75
aebcw-a-21-6-6,brouwer-constant-weight-codes,273,77
aebcw-a-28-12-12,brouwer-constant-weight-codes,119,79
aebcw-a-28-12-11,brouwer-constant-weight-codes,65,82
aebcw-a-25-10-9,brouwer-constant-weight-codes,72,85
aebcw-a-28-10-8,brouwer-constant-weight-codes,81,87
aebcw-a-25-8-8,brouwer-constant-weight-codes,759,91
aebcw-a-28-12-14,brouwer-constant-weight-codes,172,92
aebcw-a-24-10-10,brouwer-constant-weight-codes,72,98
aebcw-a-25-6-6,brouwer-constant-weight-codes,700,100
aebcw-a-31-14-14,brouwer-constant-weight-codes,66,101
aebcw-a-18-6-9,brouwer-constant-weight-codes,320,104
aebcw-a-29-12-11,brouwer-constant-weight-codes,87,110
aebcw-a-31-14-15,brouwer-constant-weight-codes,72,111
aebcw-a-26-8-7,brouwer-constant-weight-codes,259,112
