id,source,best_known,gap_blocks
ljcr-c-12-6-4,ljcr-covering-designs,41,1
ljcr-c-13-6-3,ljcr-covering-designs,21,1
ljcr-c-14-6-3,ljcr-covering-designs,25,1
ljcr-c-14-8-4,ljcr-covering-designs,24,1
ljcr-c-15-5-3,ljcr-covering-designs,55,1
ljcr-c-15-6-3,ljcr-covering-designs,31,1
ljcr-c-15-8-4,ljcr-covering-designs,30,1
ljcr-c-15-9-4,ljcr-covering-designs,20,1
ljcr-c-16-7-3,ljcr-covering-designs,24,1
ljcr-c-17-6-3,ljcr-covering-designs,44,1
ljcr-c-17-8-3,ljcr-covering-designs,18,1
ljcr-c-17-9-4,ljcr-covering-designs,28,1
ljcr-c-18-10-3,ljcr-covering-designs,12,1
ljcr-c-18-11-3,ljcr-covering-designs,10,1
ljcr-c-18-11-4,ljcr-covering-designs,19,1
ljcr-c-18-7-3,ljcr-covering-designs,32,1
ljcr-c-19-10-3,ljcr-covering-designs,14,1
ljcr-c-19-9-3,ljcr-covering-designs,17,1
ljcr-c-20-10-3,ljcr-covering-designs,15,1
ljcr-c-20-11-3,ljcr-covering-designs,12,1
ljcr-c-20-12-3,ljcr-covering-designs,10,1
ljcr-c-20-13-4,ljcr-covering-designs,15,1
ljcr-c-20-9-3,ljcr-covering-designs,21,1
ljcr-c-21-11-3,ljcr-covering-designs,14,1
ljcr-c-21-7-3,ljcr-covering-designs,49,1
ljcr-c-22-11-3,ljcr-covering-designs,15,1
ljcr-c-22-15-4,ljcr-covering-designs,12,1
ljcr-c-22-16-5,ljcr-covering-designs,14,1
ljcr-c-22-17-5,ljcr-covering-designs,11,1
ljcr-c-22-9-3,ljcr-covering-designs,28,1
ljcr-c-23-12-3,ljcr-covering-designs,14,1
ljcr-c-23-14-3,ljcr-covering-designs,10,1
ljcr-c-23-16-4,ljcr-covering-designs,11,1
ljcr-c-23-6-2,ljcr-covering-designs,21,1
ljcr-c-23-7-2,ljcr-covering-designs,16,1
ljcr-c-24-12-4,ljcr-covering-designs,31,1
ljcr-c-24-13-3,ljcr-covering-designs,13,1
ljcr-c-24-16-4,ljcr-covering-designs,12,1
ljcr-c-24-18-5,ljcr-covering-designs,12,1
ljcr-c-24-6-2,ljcr-covering-designs,22,1
ljcr-c-25-13-3,ljcr-covering-designs,14,1
ljcr-c-25-14-3,ljcr-covering-designs,12,1
ljcr-c-25-15-3,ljcr-covering-designs,10,1
ljcr-c-25-17-4,ljcr-covering-designs,11,1
ljcr-c-26-12-3,ljcr-covering-designs,18,1
ljcr-c-26-13-3,ljcr-covering-designs,15,1
ljcr-c-26-14-3,ljcr-covering-designs,13,1
ljcr-c-26-19-5,ljcr-covering-designs,14,1
ljcr-c-26-9-3,ljcr-covering-designs,39,1
ljcr-c-27-14-3,ljcr-covering-designs,14,1
ljcr-c-27-16-3,ljcr-covering-designs,10,1
ljcr-c-27-18-4,ljcr-covering-designs,12,1
ljcr-c-27-8-2,ljcr-covering-designs,17,1
ljcr-c-28-14-3,ljcr-covering-designs,15,1
ljcr-c-28-14-4,ljcr-covering-designs,31,1
ljcr-c-28-15-3,ljcr-covering-designs,13,1
ljcr-c-28-17-3,ljcr-covering-designs,10,1
ljcr-c-28-19-4,ljcr-covering-designs,12,1
ljcr-c-28-21-5,ljcr-covering-designs,12,1
ljcr-c-28-7-2,ljcr-covering-designs,22,1
ljcr-c-29-10-3,ljcr-covering-designs,42,1
ljcr-c-29-16-3,ljcr-covering-designs,12,1
ljcr-c-29-20-4,ljcr-covering-designs,11,1
ljcr-c-29-21-5,ljcr-covering-designs,14,1
ljcr-c-29-22-5,ljcr-covering-designs,12,1
ljcr-c-29-5-2,ljcr-covering-designs,43,1
ljcr-c-29-6-2,ljcr-covering-designs,30,1
ljcr-c-29-7-2,ljcr-covering-designs,23,1
ljcr-c-30-15-3,ljcr-covering-designs,15,1
ljcr-c-30-15-4,ljcr-covering-designs,31,1
ljcr-c-30-16-3,ljcr-covering-designs,13,1
ljcr-c-30-18-3,ljcr-covering-designs,10,1
ljcr-c-30-23-5,ljcr-covering-designs,11,1
ljcr-c-30-7-2,ljcr-covering-designs,25,1
ljcr-c-31-10-3,ljcr-covering-designs,48,1
ljcr-c-31-17-3,ljcr-covering-designs,12,1
ljcr-c-31-24-5,ljcr-covering-designs,11,1
ljcr-c-31-9-2,ljcr-covering-designs,17,1
ljcr-c-32-22-4,ljcr-covering-designs,11,1
ljcr-c-32-24-5,ljcr-covering-designs,12,1
ljcr-c-32-9-2,ljcr-covering-designs,18,1
ljcr-c-33-10-2,ljcr-covering-designs,15,1
ljcr-c-33-16-3,ljcr-covering-designs,16,1
ljcr-c-33-20-3,ljcr-covering-designs,10,1
ljcr-c-33-7-2,ljcr-covering-designs,30,1
ljcr-c-34-10-2,ljcr-covering-designs,16,1
ljcr-c-34-17-3,ljcr-covering-designs,15,1
ljcr-c-34-18-3,ljcr-covering-designs,13,1
ljcr-c-34-18-4,ljcr-covering-designs,28,1
ljcr-c-34-23-4,ljcr-covering-designs,12,1
ljcr-c-34-25-4,ljcr-covering-designs,9,1
ljcr-c-34-25-5,ljcr-covering-designs,14,1
ljcr-c-34-7-2,ljcr-covering-designs,31,1
