id,source,best_known,gap_distance
codetables-gf3-100-6,codetables-nonbinary-linear-codes,63,1
codetables-gf3-101-6,codetables-nonbinary-linear-codes,64,1
codetables-gf3-102-6,codetables-nonbinary-linear-codes,65,1
codetables-gf3-104-6,codetables-nonbinary-linear-codes,66,1
codetables-gf3-115-7,codetables-nonbinary-linear-codes,72,1
codetables-gf3-118-7,codetables-nonbinary-linear-codes,74,1
codetables-gf3-119-7,codetables-nonbinary-linear-codes,75,1
codetables-gf3-122-7,codetables-nonbinary-linear-codes,77,1
codetables-gf3-123-7,codetables-nonbinary-linear-codes,78,1
codetables-gf3-126-7,codetables-nonbinary-linear-codes,80,1
codetables-gf3-127-6,codetables-nonbinary-linear-codes,81,1
codetables-gf3-128-6,codetables-nonbinary-linear-codes,82,1
codetables-gf3-128-7,codetables-nonbinary-linear-codes,81,1
codetables-gf3-129-6,codetables-nonbinary-linear-codes,83,1
codetables-gf3-131-6,codetables-nonbinary-linear-codes,84,1
codetables-gf3-132-6,codetables-nonbinary-linear-codes,85,1
codetables-gf3-132-7,codetables-nonbinary-linear-codes,83,1
codetables-gf3-133-6,codetables-nonbinary-linear-codes,86,1
codetables-gf3-133-7,codetables-nonbinary-linear-codes,84,1
codetables-gf3-135-6,codetables-nonbinary-linear-codes,87,1
codetables-gf3-136-7,codetables-nonbinary-linear-codes,86,1
codetables-gf3-137-7,codetables-nonbinary-linear-codes,87,1
codetables-gf3-138-7,codetables-nonbinary-linear-codes,88,1
codetables-gf3-139-7,codetables-nonbinary-linear-codes,89,1
codetables-gf3-140-6,codetables-nonbinary-linear-codes,90,1
codetables-gf3-142-7,codetables-nonbinary-linear-codes,90,1
codetables-gf3-143-6,codetables-nonbinary-linear-codes,92,1
codetables-gf3-145-6,codetables-nonbinary-linear-codes,93,1
codetables-gf3-145-7,codetables-nonbinary-linear-codes,92,1
codetables-gf3-146-6,codetables-nonbinary-linear-codes,94,1
codetables-gf3-147-6,codetables-nonbinary-linear-codes,95,1
codetables-gf3-147-7,codetables-nonbinary-linear-codes,93,1
codetables-gf3-148-7,codetables-nonbinary-linear-codes,94,1
codetables-gf3-149-6,codetables-nonbinary-linear-codes,96,1
codetables-gf3-149-7,codetables-nonbinary-linear-codes,95,1
codetables-gf3-150-6,codetables-nonbinary-linear-codes,97,1
codetables-gf3-151-6,codetables-nonbinary-linear-codes,98,1
codetables-gf3-151-7,codetables-nonbinary-linear-codes,96,1
codetables-gf3-152-7,codetables-nonbinary-linear-codes,97,1
codetables-gf3-153-6,codetables-nonbinary-linear-codes,99,1
codetables-gf3-153-7,codetables-nonbinary-linear-codes,98,1
codetables-gf3-155-7,codetables-nonbinary-linear-codes,99,1
codetables-gf3-167-7,codetables-nonbinary-linear-codes,107,1
codetables-gf3-169-7,codetables-nonbinary-linear-codes,108,1
codetables-gf3-181-7,codetables-nonbinary-linear-codes,116,1
codetables-gf3-182-7,codetables-nonbinary-linear-codes,117,1
codetables-gf3-191-7,codetables-nonbinary-linear-codes,123,1
codetables-gf3-192-7,codetables-nonbinary-linear-codes,124,1
codetables-gf3-193-7,codetables-nonbinary-linear-codes,125,1
codetables-gf3-194-6,codetables-nonbinary-linear-codes,126,1
codetables-gf3-195-6,codetables-nonbinary-linear-codes,127,1
codetables-gf3-195-7,codetables-nonbinary-linear-codes,126,1
codetables-gf3-196-6,codetables-nonbinary-linear-codes,128,1
codetables-gf3-198-6,codetables-nonbinary-linear-codes,129,1
codetables-gf3-199-6,codetables-nonbinary-linear-codes,130,1
codetables-gf3-200-6,codetables-nonbinary-linear-codes,131,1
codetables-gf3-202-6,codetables-nonbinary-linear-codes,132,1
codetables-gf3-208-6,codetables-nonbinary-linear-codes,135,1
codetables-gf3-208-7,codetables-nonbinary-linear-codes,134,1
codetables-gf3-209-6,codetables-nonbinary-linear-codes,136,1
codetables-gf3-209-7,codetables-nonbinary-linear-codes,135,1
codetables-gf3-210-6,codetables-nonbinary-linear-codes,137,1
codetables-gf3-212-6,codetables-nonbinary-linear-codes,138,1
codetables-gf3-213-6,codetables-nonbinary-linear-codes,139,1
codetables-gf3-214-6,codetables-nonbinary-linear-codes,140,1
codetables-gf3-216-6,codetables-nonbinary-linear-codes,141,1
codetables-gf3-217-6,codetables-nonbinary-linear-codes,142,1
codetables-gf3-218-6,codetables-nonbinary-linear-codes,143,1
codetables-gf3-22-8,codetables-nonbinary-linear-codes,9,1
codetables-gf3-221-6,codetables-nonbinary-linear-codes,144,1
codetables-gf3-221-7,codetables-nonbinary-linear-codes,143,1
codetables-gf3-222-6,codetables-nonbinary-linear-codes,145,1
codetables-gf3-222-7,codetables-nonbinary-linear-codes,144,1
codetables-gf3-223-6,codetables-nonbinary-linear-codes,146,1
codetables-gf3-225-6,codetables-nonbinary-linear-codes,147,1
codetables-gf3-226-6,codetables-nonbinary-linear-codes,148,1
codetables-gf3-227-6,codetables-nonbinary-linear-codes,149,1
codetables-gf3-229-6,codetables-nonbinary-linear-codes,150,1
codetables-gf3-23-8,codetables-nonbinary-linear-codes,10,1
codetables-gf3-23-9,codetables-nonbinary-linear-codes,9,1
codetables-gf3-233-6,codetables-nonbinary-linear-codes,153,1
codetables-gf3-234-6,codetables-nonbinary-linear-codes,154,1
codetables-gf3-235-7,codetables-nonbinary-linear-codes,152,1
codetables-gf3-236-7,codetables-nonbinary-linear-codes,153,1
codetables-gf3-24-10,codetables-nonbinary-linear-codes,9,1
codetables-gf3-24-9,codetables-nonbinary-linear-codes,10,1
codetables-gf3-241-10,codetables-nonbinary-linear-codes,152,1
codetables-gf3-242-10,codetables-nonbinary-linear-codes,153,1
codetables-gf3-242-11,codetables-nonbinary-linear-codes,152,1
codetables-gf3-243-11,codetables-nonbinary-linear-codes,153,1
codetables-gf3-25-10,codetables-nonbinary-linear-codes,10,1
codetables-gf3-25-11,codetables-nonbinary-linear-codes,9,1
codetables-gf3-26-10,codetables-nonbinary-linear-codes,10,1
codetables-gf3-26-12,codetables-nonbinary-linear-codes,9,1
codetables-gf3-27-10,codetables-nonbinary-linear-codes,11,1
codetables-gf3-27-11,codetables-nonbinary-linear-codes,10,1
codetables-gf3-28-11,codetables-nonbinary-linear-codes,11,1
codetables-gf3-28-12,codetables-nonbinary-linear-codes,10,1
codetables-gf3-28-9,codetables-nonbinary-linear-codes,12,1
codetables-gf3-29-10,codetables-nonbinary-linear-codes,12,1
codetables-gf3-29-12,codetables-nonbinary-linear-codes,11,1
codetables-gf3-29-9,codetables-nonbinary-linear-codes,13,1
codetables-gf3-30-10,codetables-nonbinary-linear-codes,13,1
codetables-gf3-30-11,codetables-nonbinary-linear-codes,12,1
codetables-gf3-30-9,codetables-nonbinary-linear-codes,14,1
codetables-gf3-31-10,codetables-nonbinary-linear-codes,14,1
codetables-gf3-31-12,codetables-nonbinary-linear-codes,12,1
codetables-gf3-31-8,codetables-nonbinary-linear-codes,15,1
codetables-gf3-32-7,codetables-nonbinary-linear-codes,17,1
codetables-gf3-32-8,codetables-nonbinary-linear-codes,16,1
codetables-gf3-32-9,codetables-nonbinary-linear-codes,15,1
codetables-gf3-33-10,codetables-nonbinary-linear-codes,15,1
codetables-gf3-33-6,codetables-nonbinary-linear-codes,18,1
codetables-gf3-33-8,codetables-nonbinary-linear-codes,17,1
codetables-gf3-33-9,codetables-nonbinary-linear-codes,16,1
codetables-gf3-34-10,codetables-nonbinary-linear-codes,16,1
codetables-gf3-34-6,codetables-nonbinary-linear-codes,19,1
codetables-gf3-34-7,codetables-nonbinary-linear-codes,18,1
codetables-gf3-34-9,codetables-nonbinary-linear-codes,17,1
codetables-gf3-35-10,codetables-nonbinary-linear-codes,17,1
codetables-gf3-35-7,codetables-nonbinary-linear-codes,19,1
codetables-gf3-36-8,codetables-nonbinary-linear-codes,18,1
codetables-gf3-37-11,codetables-nonbinary-linear-codes,17,1
codetables-gf3-37-12,codetables-nonbinary-linear-codes,16,1
codetables-gf3-37-8,codetables-nonbinary-linear-codes,19,1
codetables-gf3-37-9,codetables-nonbinary-linear-codes,18,1
codetables-gf3-38-10,codetables-nonbinary-linear-codes,18,1
codetables-gf3-38-12,codetables-nonbinary-linear-codes,17,1
codetables-gf3-38-8,codetables-nonbinary-linear-codes,20,1
codetables-gf3-39-11,codetables-nonbinary-linear-codes,18,1
codetables-gf3-39-7,codetables-nonbinary-linear-codes,21,1
codetables-gf3-40-12,codetables-nonbinary-linear-codes,18,1
codetables-gf3-40-7,codetables-nonbinary-linear-codes,22,1
codetables-gf3-40-8,codetables-nonbinary-linear-codes,21,1
codetables-gf3-40-9,codetables-nonbinary-linear-codes,20,1
codetables-gf3-41-10,codetables-nonbinary-linear-codes,20,1
codetables-gf3-41-7,codetables-nonbinary-linear-codes,23,1
codetables-gf3-41-8,codetables-nonbinary-linear-codes,22,1
codetables-gf3-41-9,codetables-nonbinary-linear-codes,21,1
codetables-gf3-42-10,codetables-nonbinary-linear-codes,21,1
codetables-gf3-43-7,codetables-nonbinary-linear-codes,24,1
codetables-gf3-43-8,codetables-nonbinary-linear-codes,23,1
codetables-gf3-44-8,codetables-nonbinary-linear-codes,24,1
codetables-gf3-44-9,codetables-nonbinary-linear-codes,23,1
codetables-gf3-45-9,codetables-nonbinary-linear-codes,24,1
codetables-gf3-46-10,codetables-nonbinary-linear-codes,23,1
codetables-gf3-46-6,codetables-nonbinary-linear-codes,27,1
codetables-gf3-46-7,codetables-nonbinary-linear-codes,26,1
codetables-gf3-46-8,codetables-nonbinary-linear-codes,25,1
codetables-gf3-47-10,codetables-nonbinary-linear-codes,24,1
codetables-gf3-47-8,codetables-nonbinary-linear-codes,26,1
codetables-gf3-48-7,codetables-nonbinary-linear-codes,27,1
codetables-gf3-49-7,codetables-nonbinary-linear-codes,28,1
codetables-gf3-49-8,codetables-nonbinary-linear-codes,27,1
codetables-gf3-49-9,codetables-nonbinary-linear-codes,26,1
codetables-gf3-50-7,codetables-nonbinary-linear-codes,29,1
codetables-gf3-50-9,codetables-nonbinary-linear-codes,27,1
codetables-gf3-52-7,codetables-nonbinary-linear-codes,30,1
codetables-gf3-52-8,codetables-nonbinary-linear-codes,29,1
codetables-gf3-53-8,codetables-nonbinary-linear-codes,30,1
codetables-gf3-55-7,codetables-nonbinary-linear-codes,32,1
codetables-gf3-55-9,codetables-nonbinary-linear-codes,30,1
codetables-gf3-56-7,codetables-nonbinary-linear-codes,33,1
codetables-gf3-58-7,codetables-nonbinary-linear-codes,34,1
codetables-gf3-59-7,codetables-nonbinary-linear-codes,35,1
codetables-gf3-60-6,codetables-nonbinary-linear-codes,36,1
codetables-gf3-61-6,codetables-nonbinary-linear-codes,37,1
codetables-gf3-61-7,codetables-nonbinary-linear-codes,36,1
codetables-gf3-62-6,codetables-nonbinary-linear-codes,38,1
codetables-gf3-62-8,codetables-nonbinary-linear-codes,35,1
codetables-gf3-63-8,codetables-nonbinary-linear-codes,36,1
codetables-gf3-63-9,codetables-nonbinary-linear-codes,35,1
codetables-gf3-64-6,codetables-nonbinary-linear-codes,39,1
codetables-gf3-64-7,codetables-nonbinary-linear-codes,38,1
codetables-gf3-64-8,codetables-nonbinary-linear-codes,37,1
codetables-gf3-64-9,codetables-nonbinary-linear-codes,36,1
codetables-gf3-65-6,codetables-nonbinary-linear-codes,40,1
codetables-gf3-65-7,codetables-nonbinary-linear-codes,39,1
codetables-gf3-66-6,codetables-nonbinary-linear-codes,41,1
codetables-gf3-66-8,codetables-nonbinary-linear-codes,38,1
codetables-gf3-67-8,codetables-nonbinary-linear-codes,39,1
codetables-gf3-68-6,codetables-nonbinary-linear-codes,42,1
codetables-gf3-69-6,codetables-nonbinary-linear-codes,42,1
codetables-gf3-69-7,codetables-nonbinary-linear-codes,41,1
codetables-gf3-70-6,codetables-nonbinary-linear-codes,43,1
codetables-gf3-70-7,codetables-nonbinary-linear-codes,42,1
codetables-gf3-71-6,codetables-nonbinary-linear-codes,44,1
codetables-gf3-73-6,codetables-nonbinary-linear-codes,45,1
codetables-gf3-73-7,codetables-nonbinary-linear-codes,44,1
codetables-gf3-74-6,codetables-nonbinary-linear-codes,46,1
codetables-gf3-75-6,codetables-nonbinary-linear-codes,47,1
codetables-gf3-75-7,codetables-nonbinary-linear-codes,45,1
codetables-gf3-75-8,codetables-nonbinary-linear-codes,44,1
codetables-gf3-76-7,codetables-nonbinary-linear-codes,46,1
codetables-gf3-76-8,codetables-nonbinary-linear-codes,45,1
codetables-gf3-77-6,codetables-nonbinary-linear-codes,48,1
codetables-gf3-77-7,codetables-nonbinary-linear-codes,47,1
codetables-gf3-78-6,codetables-nonbinary-linear-codes,49,1
codetables-gf3-79-6,codetables-nonbinary-linear-codes,50,1
codetables-gf3-79-8,codetables-nonbinary-linear-codes,47,1
codetables-gf3-80-8,codetables-nonbinary-linear-codes,48,1
codetables-gf3-80-9,codetables-nonbinary-linear-codes,47,1
codetables-gf3-81-9,codetables-nonbinary-linear-codes,48,1
codetables-gf3-82-8,codetables-nonbinary-linear-codes,49,1
codetables-gf3-83-8,codetables-nonbinary-linear-codes,50,1
codetables-gf3-83-9,codetables-nonbinary-linear-codes,49,1
codetables-gf3-84-8,codetables-nonbinary-linear-codes,51,1
codetables-gf3-84-9,codetables-nonbinary-linear-codes,50,1
codetables-gf3-85-8,codetables-nonbinary-linear-codes,51,1
codetables-gf3-85-9,codetables-nonbinary-linear-codes,51,1
codetables-gf3-86-8,codetables-nonbinary-linear-codes,52,1
codetables-gf3-86-9,codetables-nonbinary-linear-codes,51,1
codetables-gf3-87-6,codetables-nonbinary-linear-codes,54,1
codetables-gf3-87-8,codetables-nonbinary-linear-codes,53,1
codetables-gf3-87-9,codetables-nonbinary-linear-codes,52,1
codetables-gf3-88-6,codetables-nonbinary-linear-codes,55,1
codetables-gf3-88-7,codetables-nonbinary-linear-codes,54,1
codetables-gf3-88-9,codetables-nonbinary-linear-codes,53,1
codetables-gf3-89-11,codetables-nonbinary-linear-codes,51,1
codetables-gf3-89-6,codetables-nonbinary-linear-codes,56,1
codetables-gf3-89-8,codetables-nonbinary-linear-codes,54,1
codetables-gf3-91-6,codetables-nonbinary-linear-codes,57,1
codetables-gf3-91-7,codetables-nonbinary-linear-codes,56,1
codetables-gf3-91-9,codetables-nonbinary-linear-codes,54,1
codetables-gf3-92-6,codetables-nonbinary-linear-codes,58,1
codetables-gf3-92-7,codetables-nonbinary-linear-codes,57,1
codetables-gf3-93-6,codetables-nonbinary-linear-codes,59,1
codetables-gf3-95-6,codetables-nonbinary-linear-codes,60,1
codetables-gf3-95-7,codetables-nonbinary-linear-codes,59,1
codetables-gf3-97-7,codetables-nonbinary-linear-codes,60,1
codetables-gf3-98-7,codetables-nonbinary-linear-codes,61,1
codetables-gf3-99-7,codetables-nonbinary-linear-codes,62,1
codetables-gf4-100-5,codetables-nonbinary-linear-codes,72,1
codetables-gf4-101-5,codetables-nonbinary-linear-codes,73,1
codetables-gf4-101-6,codetables-nonbinary-linear-codes,71,1
codetables-gf4-102-6,codetables-nonbinary-linear-codes,72,1
codetables-gf4-103-5,codetables-nonbinary-linear-codes,74,1
codetables-gf4-104-5,codetables-nonbinary-linear-codes,75,1
codetables-gf4-106-6,codetables-nonbinary-linear-codes,75,1
codetables-gf4-107-6,codetables-nonbinary-linear-codes,76,1
codetables-gf4-111-5,codetables-nonbinary-linear-codes,80,1
codetables-gf4-111-6,codetables-nonbinary-linear-codes,79,1
codetables-gf4-112-5,codetables-nonbinary-linear-codes,81,1
codetables-gf4-113-5,codetables-nonbinary-linear-codes,82,1
codetables-gf4-113-6,codetables-nonbinary-linear-codes,80,1
codetables-gf4-114-5,codetables-nonbinary-linear-codes,83,1
codetables-gf4-114-6,codetables-nonbinary-linear-codes,81,1
codetables-gf4-115-6,codetables-nonbinary-linear-codes,82,1
codetables-gf4-116-6,codetables-nonbinary-linear-codes,83,1
codetables-gf4-118-6,codetables-nonbinary-linear-codes,84,1
codetables-gf4-119-6,codetables-nonbinary-linear-codes,85,1
codetables-gf4-120-6,codetables-nonbinary-linear-codes,86,1
codetables-gf4-121-6,codetables-nonbinary-linear-codes,87,1
codetables-gf4-122-5,codetables-nonbinary-linear-codes,88,1
codetables-gf4-123-5,codetables-nonbinary-linear-codes,89,1
codetables-gf4-123-6,codetables-nonbinary-linear-codes,88,1
codetables-gf4-124-5,codetables-nonbinary-linear-codes,90,1
codetables-gf4-125-5,codetables-nonbinary-linear-codes,91,1
codetables-gf4-127-5,codetables-nonbinary-linear-codes,92,1
codetables-gf4-127-6,codetables-nonbinary-linear-codes,91,1
codetables-gf4-128-5,codetables-nonbinary-linear-codes,93,1
codetables-gf4-128-6,codetables-nonbinary-linear-codes,92,1
codetables-gf4-129-5,codetables-nonbinary-linear-codes,94,1
codetables-gf4-129-6,codetables-nonbinary-linear-codes,93,1
codetables-gf4-130-5,codetables-nonbinary-linear-codes,95,1
codetables-gf4-130-6,codetables-nonbinary-linear-codes,94,1
codetables-gf4-131-6,codetables-nonbinary-linear-codes,95,1
codetables-gf4-133-5,codetables-nonbinary-linear-codes,96,1
codetables-gf4-134-5,codetables-nonbinary-linear-codes,97,1
codetables-gf4-134-6,codetables-nonbinary-linear-codes,96,1
codetables-gf4-135-5,codetables-nonbinary-linear-codes,98,1
codetables-gf4-136-5,codetables-nonbinary-linear-codes,99,1
codetables-gf4-138-5,codetables-nonbinary-linear-codes,100,1
codetables-gf4-138-6,codetables-nonbinary-linear-codes,99,1
codetables-gf4-139-5,codetables-nonbinary-linear-codes,101,1
codetables-gf4-139-6,codetables-nonbinary-linear-codes,100,1
codetables-gf4-140-5,codetables-nonbinary-linear-codes,102,1
codetables-gf4-141-5,codetables-nonbinary-linear-codes,103,1
codetables-gf4-143-5,codetables-nonbinary-linear-codes,104,1
