id,source,best_known,gap_distance
codetables-gf2-100-11,codetables-linear-codes,44,1
codetables-gf2-100-9,codetables-linear-codes,46,1
codetables-gf2-101-9,codetables-linear-codes,47,1
codetables-gf2-102-11,codetables-linear-codes,45,1
codetables-gf2-104-11,codetables-linear-codes,46,1
codetables-gf2-105-11,codetables-linear-codes,47,1
codetables-gf2-107-10,codetables-linear-codes,48,1
codetables-gf2-108-10,codetables-linear-codes,49,1
codetables-gf2-108-11,codetables-linear-codes,48,1
codetables-gf2-108-12,codetables-linear-codes,47,1
codetables-gf2-110-10,codetables-linear-codes,50,1
codetables-gf2-110-12,codetables-linear-codes,48,1
codetables-gf2-110-13,codetables-linear-codes,47,1
codetables-gf2-111-10,codetables-linear-codes,51,1
codetables-gf2-111-13,codetables-linear-codes,48,1
codetables-gf2-111-14,codetables-linear-codes,47,1
codetables-gf2-112-14,codetables-linear-codes,48,1
codetables-gf2-113-9,codetables-linear-codes,52,1
codetables-gf2-114-10,codetables-linear-codes,52,1
codetables-gf2-114-9,codetables-linear-codes,53,1
codetables-gf2-115-10,codetables-linear-codes,53,1
codetables-gf2-115-11,codetables-linear-codes,51,1
codetables-gf2-116-11,codetables-linear-codes,52,1
codetables-gf2-116-9,codetables-linear-codes,54,1
codetables-gf2-117-10,codetables-linear-codes,54,1
codetables-gf2-117-9,codetables-linear-codes,55,1
codetables-gf2-118-10,codetables-linear-codes,55,1
codetables-gf2-118-11,codetables-linear-codes,53,1
codetables-gf2-119-11,codetables-linear-codes,54,1
codetables-gf2-121-11,codetables-linear-codes,55,1
codetables-gf2-121-9,codetables-linear-codes,56,1
codetables-gf2-122-10,codetables-linear-codes,56,1
codetables-gf2-122-9,codetables-linear-codes,57,1
codetables-gf2-124-10,codetables-linear-codes,57,1
codetables-gf2-124-11,codetables-linear-codes,56,1
codetables-gf2-124-12,codetables-linear-codes,55,1
codetables-gf2-124-9,codetables-linear-codes,58,1
codetables-gf2-125-13,codetables-linear-codes,55,1
codetables-gf2-125-9,codetables-linear-codes,59,1
codetables-gf2-126-10,codetables-linear-codes,58,1
codetables-gf2-126-12,codetables-linear-codes,56,1
codetables-gf2-126-14,codetables-linear-codes,55,1
codetables-gf2-127-10,codetables-linear-codes,59,1
codetables-gf2-127-13,codetables-linear-codes,56,1
codetables-gf2-128-14,codetables-linear-codes,56,1
codetables-gf2-128-9,codetables-linear-codes,60,1
codetables-gf2-129-9,codetables-linear-codes,61,1
codetables-gf2-130-10,codetables-linear-codes,60,1
codetables-gf2-131-11,codetables-linear-codes,59,1
codetables-gf2-132-10,codetables-linear-codes,61,1
codetables-gf2-132-11,codetables-linear-codes,60,1
codetables-gf2-133-10,codetables-linear-codes,62,1
codetables-gf2-134-11,codetables-linear-codes,61,1
codetables-gf2-135-10,codetables-linear-codes,63,1
codetables-gf2-135-11,codetables-linear-codes,62,1
codetables-gf2-137-11,codetables-linear-codes,63,1
codetables-gf2-138-9,codetables-linear-codes,64,1
codetables-gf2-139-10,codetables-linear-codes,64,1
codetables-gf2-139-12,codetables-linear-codes,63,1
codetables-gf2-139-9,codetables-linear-codes,65,1
codetables-gf2-140-11,codetables-linear-codes,64,1
codetables-gf2-141-9,codetables-linear-codes,66,1
codetables-gf2-142-12,codetables-linear-codes,64,1
codetables-gf2-142-13,codetables-linear-codes,63,1
codetables-gf2-142-9,codetables-linear-codes,67,1
codetables-gf2-143-13,codetables-linear-codes,64,1
codetables-gf2-145-10,codetables-linear-codes,67,1
codetables-gf2-145-9,codetables-linear-codes,68,1
codetables-gf2-146-10,codetables-linear-codes,68,1
codetables-gf2-146-9,codetables-linear-codes,69,1
codetables-gf2-147-11,codetables-linear-codes,67,1
codetables-gf2-148-10,codetables-linear-codes,69,1
codetables-gf2-148-11,codetables-linear-codes,68,1
codetables-gf2-148-9,codetables-linear-codes,70,1
codetables-gf2-149-10,codetables-linear-codes,70,1
codetables-gf2-149-9,codetables-linear-codes,71,1
codetables-gf2-151-10,codetables-linear-codes,71,1
codetables-gf2-153-9,codetables-linear-codes,72,1
codetables-gf2-154-10,codetables-linear-codes,72,1
codetables-gf2-154-11,codetables-linear-codes,71,1
codetables-gf2-154-9,codetables-linear-codes,73,1
codetables-gf2-156-11,codetables-linear-codes,72,1
codetables-gf2-156-9,codetables-linear-codes,74,1
codetables-gf2-157-12,codetables-linear-codes,71,1
codetables-gf2-158-12,codetables-linear-codes,72,1
codetables-gf2-158-9,codetables-linear-codes,75,1
codetables-gf2-160-10,codetables-linear-codes,75,1
codetables-gf2-160-9,codetables-linear-codes,76,1
codetables-gf2-161-10,codetables-linear-codes,76,1
codetables-gf2-161-9,codetables-linear-codes,77,1
codetables-gf2-163-9,codetables-linear-codes,78,1
codetables-gf2-164-10,codetables-linear-codes,77,1
codetables-gf2-164-9,codetables-linear-codes,79,1
codetables-gf2-165-10,codetables-linear-codes,78,1
codetables-gf2-167-10,codetables-linear-codes,79,1
codetables-gf2-169-9,codetables-linear-codes,80,1
codetables-gf2-170-10,codetables-linear-codes,80,1
codetables-gf2-170-11,codetables-linear-codes,79,1
codetables-gf2-171-9,codetables-linear-codes,81,1
codetables-gf2-172-11,codetables-linear-codes,80,1
codetables-gf2-172-9,codetables-linear-codes,82,1
codetables-gf2-173-12,codetables-linear-codes,79,1
codetables-gf2-174-12,codetables-linear-codes,80,1
codetables-gf2-174-9,codetables-linear-codes,83,1
codetables-gf2-175-13,codetables-linear-codes,79,1
codetables-gf2-176-10,codetables-linear-codes,83,1
codetables-gf2-176-13,codetables-linear-codes,80,1
codetables-gf2-176-9,codetables-linear-codes,84,1
codetables-gf2-177-9,codetables-linear-codes,85,1
codetables-gf2-178-10,codetables-linear-codes,84,1
codetables-gf2-179-9,codetables-linear-codes,86,1
codetables-gf2-180-10,codetables-linear-codes,85,1
codetables-gf2-180-9,codetables-linear-codes,87,1
codetables-gf2-181-10,codetables-linear-codes,86,1
codetables-gf2-182-11,codetables-linear-codes,85,1
codetables-gf2-183-10,codetables-linear-codes,87,1
codetables-gf2-183-11,codetables-linear-codes,86,1
codetables-gf2-184-9,codetables-linear-codes,88,1
codetables-gf2-185-11,codetables-linear-codes,87,1
codetables-gf2-185-9,codetables-linear-codes,89,1
codetables-gf2-186-10,codetables-linear-codes,88,1
codetables-gf2-187-10,codetables-linear-codes,89,1
codetables-gf2-188-12,codetables-linear-codes,87,1
codetables-gf2-188-14,codetables-linear-codes,85,1
codetables-gf2-189-10,codetables-linear-codes,90,1
codetables-gf2-189-14,codetables-linear-codes,86,1
codetables-gf2-190-10,codetables-linear-codes,91,1
codetables-gf2-190-12,codetables-linear-codes,88,1
codetables-gf2-190-13,codetables-linear-codes,87,1
codetables-gf2-191-14,codetables-linear-codes,87,1
codetables-gf2-192-13,codetables-linear-codes,88,1
codetables-gf2-193-14,codetables-linear-codes,88,1
codetables-gf2-201-9,codetables-linear-codes,96,1
codetables-gf2-202-9,codetables-linear-codes,97,1
codetables-gf2-203-10,codetables-linear-codes,96,1
codetables-gf2-204-11,codetables-linear-codes,96,1
codetables-gf2-204-9,codetables-linear-codes,98,1
codetables-gf2-205-10,codetables-linear-codes,97,1
codetables-gf2-206-10,codetables-linear-codes,98,1
codetables-gf2-206-11,codetables-linear-codes,97,1
codetables-gf2-206-9,codetables-linear-codes,99,1
codetables-gf2-207-11,codetables-linear-codes,98,1
codetables-gf2-208-10,codetables-linear-codes,99,1
codetables-gf2-208-9,codetables-linear-codes,100,1
codetables-gf2-209-11,codetables-linear-codes,99,1
codetables-gf2-210-10,codetables-linear-codes,100,1
codetables-gf2-210-9,codetables-linear-codes,101,1
codetables-gf2-211-11,codetables-linear-codes,100,1
codetables-gf2-211-9,codetables-linear-codes,102,1
codetables-gf2-212-10,codetables-linear-codes,101,1
codetables-gf2-213-10,codetables-linear-codes,102,1
codetables-gf2-213-11,codetables-linear-codes,101,1
codetables-gf2-213-9,codetables-linear-codes,103,1
codetables-gf2-214-11,codetables-linear-codes,102,1
codetables-gf2-215-10,codetables-linear-codes,103,1
codetables-gf2-216-11,codetables-linear-codes,103,1
codetables-gf2-216-9,codetables-linear-codes,104,1
codetables-gf2-217-9,codetables-linear-codes,105,1
codetables-gf2-218-10,codetables-linear-codes,104,1
codetables-gf2-219-10,codetables-linear-codes,105,1
codetables-gf2-219-11,codetables-linear-codes,104,1
codetables-gf2-219-9,codetables-linear-codes,106,1
