id,source,best_known,gap_vertices
ramsey-r-3-10,small-ramsey-numbers,40,1
ramsey-r-3-11,small-ramsey-numbers,47,3
ramsey-r-5-5,small-ramsey-numbers,43,3
ramsey-r-4-6,small-ramsey-numbers,36,4
ramsey-r-3-12,small-ramsey-numbers,53,6
ramsey-r-4-7,small-ramsey-numbers,49,9
ramsey-r-3-14,small-ramsey-numbers,67,10
ramsey-r-3-15,small-ramsey-numbers,74,13
ramsey-r-4-8,small-ramsey-numbers,59,20
ramsey-r-5-6,small-ramsey-numbers,59,26
ramsey-r-4-9,small-ramsey-numbers,73,32
ramsey-r-4-10,small-ramsey-numbers,92,43
ramsey-r-5-7,small-ramsey-numbers,80,53
ramsey-r-6-6,small-ramsey-numbers,102,58
ramsey-r-4-11,small-ramsey-numbers,102,68
ramsey-r-5-8,small-ramsey-numbers,101,92
ramsey-r-6-7,small-ramsey-numbers,115,155
ramsey-r-10-10,small-ramsey-numbers,,
ramsey-r-4-12,small-ramsey-numbers,,
ramsey-r-5-10,small-ramsey-numbers,,
ramsey-r-5-11,small-ramsey-numbers,,
ramsey-r-5-12,small-ramsey-numbers,,
ramsey-r-5-13,small-ramsey-numbers,,
ramsey-r-5-14,small-ramsey-numbers,,
ramsey-r-5-15,small-ramsey-numbers,,
ramsey-r-5-9,small-ramsey-numbers,,
ramsey-r-6-10,small-ramsey-numbers,,
ramsey-r-6-11,small-ramsey-numbers,,
ramsey-r-6-12,small-ramsey-numbers,,
ramsey-r-6-13,small-ramsey-numbers,,
ramsey-r-6-15,small-ramsey-numbers,,
ramsey-r-6-8,small-ramsey-numbers,,
ramsey-r-6-9,small-ramsey-numbers,,
ramsey-r-7-10,small-ramsey-numbers,,
ramsey-r-7-11,small-ramsey-numbers,,
ramsey-r-7-12,small-ramsey-numbers,,
ramsey-r-7-13,small-ramsey-numbers,,
ramsey-r-7-7,small-ramsey-numbers,,
ramsey-r-7-8,small-ramsey-numbers,,
ramsey-r-7-9,small-ramsey-numbers,,
ramsey-r-8-10,small-ramsey-numbers,,
ramsey-r-8-11,small-ramsey-numbers,,
ramsey-r-8-13,small-ramsey-numbers,,
ramsey-r-8-15,small-ramsey-numbers,,
ramsey-r-8-8,small-ramsey-numbers,,
ramsey-r-8-9,small-ramsey-numbers,,
ramsey-r-9-10,small-ramsey-numbers,,
ramsey-r-9-9,small-ramsey-numbers,,
